# orphan_check.py result (run=2026-05-13)
# scope: memory/**/*.md = 261 files, reachable from 30 index roots = 450 files
# v0.3: relocate-fallback (2026-05-08*) applied to 0 files

## 真孤児 (refs=0 + age>30日): 8 件
[true_orphan] memory/reflections_win2_index.md (last_edit=2026-03-15, age=59日, refs=0)
[other] memory/feedback_self_evolution.md (last_edit=2026-04-26, age=17日, refs=1)
[other] memory/reference_self_play_plateau_20260424.md (last_edit=2026-04-26, age=17日, refs=1)
[other] memory/reflections_mac.md (last_edit=2026-04-26, age=17日, refs=1)
[other] memory/session_primer.md (last_edit=2026-04-26, age=17日, refs=1)
[other] memory/desires.md (last_edit=2026-04-27, age=16日, refs=1)
[other] memory/feedback_authorship_attribution.md (last_edit=2026-04-27, age=16日, refs=1)
[other] memory/feedback_concept_relevance_judgment.md (last_edit=2026-04-27, age=16日, refs=1)
[other] memory/feedback_internal_basis_first.md (last_edit=2026-04-27, age=16日, refs=1)
[other] memory/feedback_memory_for_games.md (last_edit=2026-04-27, age=16日, refs=1)
[other] memory/feedback_siphon_cycle_collapse.md (last_edit=2026-04-27, age=16日, refs=0)
[other] memory/feedback_tension_from_world.md (last_edit=2026-04-27, age=16日, refs=1)
[other] memory/feedback_usage_limit.md (last_edit=2026-04-27, age=16日, refs=0)
[other] memory/inbox_win2_archive_20260427.md (last_edit=2026-04-27, age=16日, refs=0)
[other] memory/inbox_win2_overflow_20260427.md (last_edit=2026-04-27, age=16日, refs=0)
[other] memory/accumulations.md (last_edit=2026-04-28, age=15日, refs=1)
[other] memory/feedback_completion_before_deployment.md (last_edit=2026-04-28, age=15日, refs=0)
[other] memory/feedback_no_type_redo_material.md (last_edit=2026-04-28, age=15日, refs=1)
[other] memory/feedback_pleasure_element_first.md (last_edit=2026-04-28, age=15日, refs=1)
[other] memory/feedback_progressive_improvement_safety_net.md (last_edit=2026-04-28, age=15日, refs=0)
[other] memory/feedback_shuhari_clone_first.md (last_edit=2026-04-28, age=15日, refs=0)
[other] memory/feedback_won_playtest_is_kusoge.md (last_edit=2026-04-28, age=15日, refs=1)
[other] memory/inbox_win2_overflow_20260427_230144.md (last_edit=2026-04-28, age=15日, refs=0)
[other] memory/reference_lossy_compression_learning_20260428.md (last_edit=2026-04-28, age=15日, refs=1)
[other] memory/feedback_brainstorm_appropriateness_q0.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/feedback_critical_evaluation_before_implement.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/feedback_gan_harness_proposal.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/feedback_genre_deep_analysis_cycle.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/feedback_judgment_postpone_patterns.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/feedback_pre_impl_critical_review.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/feedback_predict_before_human_play.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/feedback_prior_art_research.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/feedback_shu_first_clone_baseline.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/feedback_stereotypical_responses.md (last_edit=2026-05-01, age=12日, refs=1)
[other] memory/inbox_win2_overflow_20260501_043814.md (last_edit=2026-05-01, age=12日, refs=0)
[other] memory/reference_hermes_curator_20260501.md (last_edit=2026-05-01, age=12日, refs=0)
[other] memory/feedback_brainstorm_workflow_failure.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/feedback_combine_dont_subtract.md (last_edit=2026-05-02, age=11日, refs=0)
[other] memory/feedback_genre_general_element_blindness.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/feedback_invisible_rule_accumulation.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/feedback_prior_art_citation_must_verify.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/feedback_sense_via_play_archive.md (last_edit=2026-05-02, age=11日, refs=0)
[other] memory/feedback_taste_via_rejection_resolution.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/inbox_win2_overflow_20260502_101502.md (last_edit=2026-05-02, age=11日, refs=0)
[other] memory/lessons/D-01.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/D-02.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/D-03.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/L-01.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/L-02.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/L-03.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/L-04.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/L-05.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-10.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-11.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-12.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-13.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-14.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-15.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-16.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-18.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-19.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-20.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-21.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-22.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-23.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-24.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-25.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-26.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-27.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-29.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-30.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-31.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-32.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-33.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-34.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-35.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-36.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-37.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-37b.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-38.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/M-39.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/S-01.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/S-02.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/S-03.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/S-04.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/S-05.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/S-06.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/X-01.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/X-02.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/X-03.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/X-04.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/X-05.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/X-06.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/lessons/_appendix.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/mission_spread_the_word.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/pot_index.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/project_memory_test_via_new_shooting_20260427.md (last_edit=2026-05-02, age=11日, refs=0)
[other] memory/project_patch_consolidation_20260502.md (last_edit=2026-05-02, age=11日, refs=1)
[other] memory/feedback_deep_analysis_cycle.md (last_edit=2026-05-03, age=10日, refs=1)
[other] memory/feedback_rule_proliferation_re_violation.md (last_edit=2026-05-03, age=10日, refs=1)
[other] memory/feedback_selection_sense_gap.md (last_edit=2026-05-03, age=10日, refs=1)
[other] memory/feedback_similar_games_first.md (last_edit=2026-05-03, age=10日, refs=1)
[other] memory/game_design_combinations.md (last_edit=2026-05-03, age=10日, refs=0)
[other] memory/lessons/M-17.md (last_edit=2026-05-03, age=10日, refs=1)
[other] memory/selection_sense_log.md (last_edit=2026-05-03, age=10日, refs=0)
[other] memory/lessons/M-40.md (last_edit=2026-05-04, age=9日, refs=1)
[other] memory/lessons/M-41.md (last_edit=2026-05-04, age=9日, refs=1)
[other] memory/lessons/M-42.md (last_edit=2026-05-04, age=9日, refs=1)
[other] memory/lessons/M-43.md (last_edit=2026-05-04, age=9日, refs=1)
[other] memory/beliefs_compact.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/concept_graph.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/dialogue_micromanagement_20260504.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/feedback_few_rules_big_effect.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/feedback_game_dev_discipline.md (last_edit=2026-05-05, age=8日, refs=0)
[other] memory/feedback_identity_names.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/feedback_rule_proliferation.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/feedback_self_risk_core_pitfall.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/feedback_surprise_ninja_concept_first.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/game_dev_analysis_mir.md (last_edit=2026-05-05, age=8日, refs=0)
[other] memory/inbox_win2_overflow_20260505_100152.md (last_edit=2026-05-05, age=8日, refs=0)
[other] memory/inbox_win_overflow_20260505_045955.md (last_edit=2026-05-05, age=8日, refs=0)
[other] memory/lessons/M-28.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/pending_requests.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/tweets_index.md (last_edit=2026-05-05, age=8日, refs=1)
[other] memory/feedback_analysis_action_gap.md (last_edit=2026-05-08, age=5日, refs=1)
[other] memory/feedback_substrate_not_infrastructure.md (last_edit=2026-05-09, age=4日, refs=1)
[other] memory/feedback_self_judgment_no_human_dep.md (last_edit=2026-05-10, age=3日, refs=1)
[other] memory/feedback_self_perception_blindness.md (last_edit=2026-05-10, age=3日, refs=1)
[other] memory/reference_masao_html_drift_20260510.md (last_edit=2026-05-10, age=3日, refs=1)
[other] memory/references_external_index.md (last_edit=2026-05-10, age=3日, refs=1)
[other] memory/_TAG_VOCABULARY.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/feedback_recency_bias_concept_overuse.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/game_dev_index.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/inbox_win.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/operational_index.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/shared_reads/20260404_nyp_qoo_oldbook_ash.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/shared_reads/20260409_taste_layer6_log.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/shared_reads/20260417_opus47_metacog_gates_ash.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/shared_reads/20260425_anthropic_marketplace_ash.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/shared_reads/20260426_backlash_stg_disproof_log.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/shared_reads/20260428_marl_diversity_collapse_log.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/shared_reads/20260505_akiraxtwo_soccer_log.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/shared_reads/20260507_yasukiwatanabe_unease_mir.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/shared_reads/20260508_density_drift_ash.md (last_edit=2026-05-11, age=2日, refs=1)
[other] memory/MEMORY.md (last_edit=2026-05-12, age=1日, refs=1)
[other] memory/directive_shared_reads_overview_20260512.md (last_edit=2026-05-12, age=1日, refs=1)
[other] memory/external_notes_ash.md (last_edit=2026-05-12, age=1日, refs=1)
[other] memory/external_notes_mir.md (last_edit=2026-05-12, age=1日, refs=1)
[other] memory/feedback_index.md (last_edit=2026-05-12, age=1日, refs=1)
[other] memory/feedback_shared_reads_analysis.md (last_edit=2026-05-12, age=1日, refs=1)
[other] memory/shared_reads/20260512_graphiti_temporal_context_log.md (last_edit=2026-05-12, age=1日, refs=1)
[other] memory/shared_reads/README.md (last_edit=2026-05-12, age=1日, refs=1)
[other] memory/external_notes_log.md (last_edit=2026-05-13, age=0日, refs=1)
[other] memory/game_lessons_log.md (last_edit=2026-05-13, age=0日, refs=1)
[other] memory/inbox_mac.md (last_edit=2026-05-13, age=0日, refs=1)
[other] memory/sense_prediction_log.md (last_edit=2026-05-13, age=0日, refs=1)

